Bookmaker,Date,Start Time (UTC),Home Team Unparse,Away Team Unparse,Home Odd,Draw Odd,Away Odd,scrapping_time,Date Unparse,Sport,Home Team Std,Away Team Std
Netbet,,,Colorado Avalanche,Florida Panthers,2.2,4.0,2.57,2025-01-06 13:19:31,mar. 7 janv. 03:00,,COL - Colorado Avalanche,FLA - Florida Panthers
Netbet,,,Seattle Kraken,New Jersey Devils,3.4,4.2,1.78,2025-01-06 13:19:31,mar. 7 janv. 04:00,,SEA - Seattle Kraken,NJD - New Jersey Devils
Winamax,2025-01-08,2025-01-08T01:00:00Z,Boston Bruins,Edmonton Oilers,2.9,4.1,2.05,,,NHL,BOS - Boston Bruins,EDM - Edmonton Oilers
Winamax,2025-01-08,2025-01-08T01:00:00Z,Detroit Red Wings,Ottawa Senators,2.55,4.0,2.25,,,NHL,DET - Detroit Red Wings,OTT - Ottawa Senators
Winamax,2025-01-08,2025-01-08T01:00:00Z,Pittsburgh Penguins,Columbus Blue Jackets,2.0,4.2,2.95,,,NHL,PIT - Pittsburgh Penguins,CBJ - Columbus Blue Jackets
Winamax,2025-01-08,2025-01-08T01:00:00Z,Tampa Bay Lightning,Carolina Hurricanes,2.55,4.0,2.3,,,NHL,TBL - Tampa Bay Lightning,CAR - Carolina Hurricanes
Winamax,2025-01-08,2025-01-08T01:00:00Z,New York Rangers,Dallas Stars,3.1,4.2,1.92,,,NHL,NYR - New York Rangers,DAL - Dallas Stars
Winamax,2025-01-08,2025-01-08T01:30:00Z,Philadelphia Flyers,Toronto Maple Leafs,2.85,4.0,2.05,,,NHL,PHI - Philadelphia Flyers,TOR - Toronto Maple Leafs
Winamax,2025-01-08,2025-01-08T02:00:00Z,Winnipeg Jets,Nashville Predators,1.98,4.1,3.05,,,NHL,WPG - Winnipeg Jets,NSH - Nashville Predators
Winamax,2025-01-08,2025-01-08T02:00:00Z,Minnesota Wild,St. Louis Blues,2.3,3.95,2.55,,,NHL,MIN - Minnesota Wild,STL - St. Louis Blues
Winamax,2025-01-08,2025-01-08T04:00:00Z,Anaheim Ducks,Calgary Flames,2.9,4.2,2.0,,,NHL,ANA - Mighty Ducks of Anaheim/Anaheim Ducks,CGY - Calgary Flames
Winamax,2025-01-08,2025-01-08T04:30:00Z,San Jose Sharks,Vegas Golden Knights,4.1,4.1,1.58,,,NHL,SJS - San Jose Sharks,VGK - Vegas Golden Knights
